MOIS,Chaines,Catastrophes,Culture_loisirs,Economie,Education,Environnement,Faits divers,Histoire_hommages,International,Justice,Politique_France,Sante,Sciences et techniques,Societe,Sport
janv.-05,TF1,214,27,35,14,31,24,36,52,20,27,21,28,139,37
janv.-05,France_2,191,42,18,12,25,19,38,61,27,25,19,11,129,49
janv.-05,France_3,88,35,10,4,15,9,24,54,16,25,15,11,65,19
janv.-05,Canal_plus,18,4,1,3,1,1,10,15,11,6,0,4,24,7
janv.-05,Arte,40,0,8,3,3,1,23,108,11,22,2,2,31,0
fevr.-05,TF1,42,41,46,27,46,17,14,100,56,23,50,17,177,54
fevr.-05,France_2,30,66,43,31,25,16,12,110,52,18,41,15,132,58
fevr.-05,France_3,13,23,24,22,12,13,12,81,43,13,20,10,67,29
fevr.-05,Canal_plus,4,12,2,7,0,8,1,26,15,2,9,0,29,18
fevr.-05,Arte,14,5,7,7,6,0,9,160,8,4,6,4,27,3
