MOIS,THEMATIQUES,TF1,France_2,France_3,Canal_plus,Arte
janv.-05,Catastrophes,214,191,88,18,40
janv.-05,Culture_loisirs,27,42,35,4,0
janv.-05,Economie,35,18,10,1,8
janv.-05,Education,14,12,4,3,3
janv.-05,Environnement,31,25,15,1,3
janv.-05,Faits divers,24,19,9,1,1
janv.-05,Histoire_hommages,36,38,24,10,23
janv.-05,International,52,61,54,15,108
janv.-05,Justice,20,27,16,11,11
janv.-05,Politique_France,27,25,25,6,22
janv.-05,Santé,21,19,15,0,2
janv.-05,Sciences et techniques,28,11,11,4,2
janv.-05,Société,139,129,65,24,31
janv.-05,Sport,37,49,19,7,0
févr.-05,Catastrophes,42,30,13,4,14
févr.-05,Culture_loisirs,41,66,23,12,5
févr.-05,Economie,46,43,24,2,7
févr.-05,Education,27,31,22,7,7
févr.-05,Environnement,46,25,12,0,6
févr.-05,Faits divers,17,16,13,8,0
févr.-05,Histoire_hommages,14,12,12,1,9
févr.-05,International,100,110,81,26,160
févr.-05,Justice,56,52,43,15,8
févr.-05,Politique_France,23,18,13,2,4
févr.-05,Santé,50,41,20,9,6
févr.-05,Sciences et techniques,17,15,10,0,4
févr.-05,Société,177,132,67,29,27
févr.-05,Sport,54,58,29,18,3
mars-05,Catastrophes,47,44,27,1,10
mars-05,Culture_loisirs,48,81,38,14,2
mars-05,Economie,92,50,27,2,13
mars-05,Education,33,24,15,3,4
mars-05,Environnement,57,57,14,4,0
mars-05,Faits divers,32,28,18,3,9
mars-05,Histoire_hommages,7,7,1,1,3
mars-05,International,109,140,104,30,189
mars-05,Justice,44,60,30,13,21
mars-05,Politique_France,38,22,22,5,5
mars-05,Santé,69,75,44,14,19
mars-05,Sciences et techniques,29,27,8,3,3
mars-05,Société,217,187,89,34,39
mars-05,Sport,55,63,31,15,1
avr.-05,Catastrophes,16,17,7,1,2
avr.-05,Culture_loisirs,28,46,21,8,1
avr.-05,Economie,57,38,20,11,17
avr.-05,Education,12,13,7,2,2
avr.-05,Environnement,30,11,6,1,1
avr.-05,Faits divers,20,19,15,4,4
avr.-05,Histoire_hommages,34,34,19,6,13
avr.-05,International,74,82,66,16,130
avr.-05,Justice,33,26,35,19,5
avr.-05,Politique_France,31,23,15,5,5
avr.-05,Santé,23,24,18,5,3
avr.-05,Sciences et techniques,13,12,8,1,5
avr.-05,Société,275,276,154,47,92
avr.-05,Sport,31,26,16,8,1
mai-05,Catastrophes,12,11,7,1,0
mai-05,Culture_loisirs,47,78,42,10,4
mai-05,Economie,74,65,26,8,15
mai-05,Education,24,9,7,1,4
mai-05,Environnement,33,26,9,1,3
mai-05,Faits divers,18,27,21,9,0
mai-05,Histoire_hommages,22,31,17,4,17
mai-05,International,154,216,119,42,220
mai-05,Justice,43,41,26,19,12
mai-05,Politique_France,56,57,47,16,13
mai-05,Santé,48,35,22,2,2
mai-05,Sciences et techniques,31,23,6,0,2
mai-05,Société,176,143,82,27,37
mai-05,Sport,58,61,38,14,0
juin-05,Catastrophes,37,24,20,1,8
juin-05,Culture_loisirs,38,47,27,2,0
juin-05,Economie,54,44,35,2,11
juin-05,Education,19,22,12,3,2
juin-05,Environnement,54,46,10,0,10
juin-05,Faits divers,13,24,19,10,0
juin-05,Histoire_hommages,3,10,6,0,3
juin-05,International,95,105,91,14,168
juin-05,Justice,51,44,31,11,12
juin-05,Politique_France,29,25,21,4,5
juin-05,Santé,23,32,13,6,1
juin-05,Sciences et techniques,22,25,3,1,3
juin-05,Société,168,134,72,21,26
juin-05,Sport,53,49,34,12,2
juil.-05,Catastrophes,43,46,15,9,12
juil.-05,Culture_loisirs,47,61,25,2,3
juil.-05,Economie,43,34,25,11,12
juil.-05,Education,9,11,8,2,1
juil.-05,Environnement,42,48,18,3,9
juil.-05,Faits divers,14,11,8,4,1
juil.-05,Histoire_hommages,8,11,9,1,4
juil.-05,International,185,208,134,52,148
juil.-05,Justice,22,23,23,14,17
juil.-05,Politique_France,29,31,21,9,8
juil.-05,Santé,21,9,4,1,3
juil.-05,Sciences et techniques,16,24,7,9,9
juil.-05,Société,89,84,61,28,27
juil.-05,Sport,81,94,55,31,4
août-05,Catastrophes,142,169,96,35,48
août-05,Culture_loisirs,48,72,31,6,7
août-05,Economie,58,58,35,9,5
août-05,Education,25,19,12,3,2
août-05,Environnement,66,53,27,6,13
août-05,Faits divers,34,34,17,10,9
août-05,Histoire_hommages,14,15,17,2,12
août-05,International,67,81,53,38,176
août-05,Justice,15,20,19,4,7
août-05,Politique_France,16,19,21,8,4
août-05,Santé,32,32,12,4,8
août-05,Sciences et techniques,26,20,15,7,9
août-05,Société,159,139,116,39,38
août-05,Sport,58,69,38,28,4
sept.-05,Catastrophes,115,102,51,19,32
sept.-05,Culture_loisirs,40,55,25,5,1
sept.-05,Economie,63,39,36,21,21
sept.-05,Education,16,19,7,3,0
sept.-05,Environnement,51,34,19,1,5
sept.-05,Faits divers,19,17,15,7,4
sept.-05,Histoire_hommages,7,10,4,4,5
sept.-05,International,65,71,45,25,133
sept.-05,Justice,25,24,20,11,12
sept.-05,Politique_France,47,47,46,20,9
sept.-05,Santé,29,21,18,5,4
sept.-05,Sciences et techniques,10,17,8,4,3
sept.-05,Société,124,102,78,38,32
sept.-05,Sport,41,43,25,11,0
oct.-05,Catastrophes,47,49,30,8,39
oct.-05,Culture_loisirs,42,57,32,7,3
oct.-05,Economie,47,31,18,10,8
oct.-05,Education,15,8,5,1,0
oct.-05,Environnement,22,14,8,3,2
oct.-05,Faits divers,7,11,12,4,3
oct.-05,Histoire_hommages,10,6,8,0,2
oct.-05,International,69,70,59,27,114
oct.-05,Justice,40,40,34,20,16
oct.-05,Politique_France,23,21,13,11,3
oct.-05,Santé,63,70,45,15,33
oct.-05,Sciences et techniques,24,22,12,4,7
oct.-05,Société,153,140,109,39,44
oct.-05,Sport,40,31,23,3,0
nov.-05,Catastrophes,29,22,9,1,13
nov.-05,Culture_loisirs,50,57,43,5,11
nov.-05,Economie,51,40,33,7,10
nov.-05,Education,17,16,8,5,2
nov.-05,Environnement,39,34,15,4,16
nov.-05,Faits divers,24,31,18,15,1
nov.-05,Histoire_hommages,18,12,13,1,4
nov.-05,International,67,74,39,24,127
nov.-05,Justice,45,39,40,18,19
nov.-05,Politique_France,32,40,26,13,7
nov.-05,Santé,47,36,26,10,12
nov.-05,Sciences et techniques,20,20,10,1,1
nov.-05,Société,291,253,203,81,104
nov.-05,Sport,47,48,22,8,0
déc.-05,Catastrophes,52,42,37,4,12
déc.-05,Culture_loisirs,60,50,30,5,3
déc.-05,Economie,61,64,30,18,9
déc.-05,Education,16,14,5,3,1
déc.-05,Environnement,29,37,14,6,9
déc.-05,Faits divers,17,13,20,7,2
déc.-05,Histoire_hommages,13,12,6,4,3
déc.-05,International,52,67,52,23,107
déc.-05,Justice,32,27,28,12,13
déc.-05,Politique_France,24,16,17,5,0
déc.-05,Santé,19,19,12,1,4
déc.-05,Sciences et techniques,30,14,10,2,2
déc.-05,Société,186,166,104,38,56
déc.-05,Sport,29,27,21,5,2
janv.-06,Catastrophes,43,30,21,6,7
janv.-06,Culture_loisirs,52,63,38,11,4
janv.-06,Economie,47,39,26,8,20
janv.-06,Education,26,12,7,4,2
janv.-06,Environnement,42,46,24,4,8
janv.-06,Faits divers,31,32,20,6,2
janv.-06,Histoire_hommages,10,10,11,6,4
janv.-06,International,79,88,79,31,138
janv.-06,Justice,54,38,34,18,23
janv.-06,Politique_France,26,28,26,11,20
janv.-06,Santé,50,42,24,9,27
janv.-06,Sciences et techniques,22,17,17,1,7
janv.-06,Société,159,142,100,34,43
janv.-06,Sport,40,42,26,5,2
févr.-06,Catastrophes,13,16,7,5,12
févr.-06,Culture_loisirs,42,47,26,11,2
févr.-06,Economie,46,44,18,11,11
févr.-06,Education,6,6,2,0,3
févr.-06,Environnement,32,21,19,8,9
févr.-06,Faits divers,32,28,27,10,7
févr.-06,Histoire_hommages,11,3,2,2,4
févr.-06,International,42,40,45,30,104
févr.-06,Justice,49,44,27,17,17
févr.-06,Politique_France,29,21,23,9,11
févr.-06,Santé,99,94,54,29,38
févr.-06,Sciences et techniques,19,12,11,5,3
févr.-06,Société,124,104,76,40,55
